{x=34,m=306,a=2103,s=477}
{x=470,m=172,a=665,s=1591}
{x=944,m=700,a=172,s=1330}
{x=685,m=141,a=218,s=22}
{x=592,m=2284,a=500,s=1086}
{x=249,m=2090,a=668,s=2252}
{x=1446,m=1646,a=955,s=28}
{x=2152,m=837,a=48,s=441}
{x=819,m=795,a=217,s=3066}
{x=517,m=458,a=24,s=3578}
{x=153,m=2206,a=412,s=1355}
{x=20,m=367,a=465,s=291}
{x=716,m=551,a=2237,s=1157}
{x=3732,m=235,a=1067,s=394}
{x=96,m=27,a=1755,s=1447}
{x=88,m=237,a=773,s=457}
{x=139,m=134,a=149,s=476}
{x=846,m=2051,a=24,s=1458}
{x=1619,m=2343,a=96,s=784}
{x=2679,m=2656,a=374,s=1154}
{x=188,m=1536,a=614,s=103}
{x=466,m=626,a=1647,s=1087}
{x=2707,m=82,a=1620,s=3017}
{x=1399,m=3637,a=314,s=1448}
{x=19,m=605,a=992,s=962}
{x=1563,m=1513,a=525,s=1662}
{x=2004,m=1135,a=212,s=788}
{x=1041,m=1225,a=1807,s=1510}
{x=3454,m=590,a=103,s=658}
{x=68,m=920,a=1676,s=1663}
{x=670,m=246,a=2049,s=502}
{x=1969,m=1108,a=145,s=1754}
{x=1648,m=947,a=511,s=268}
{x=430,m=769,a=61,s=1210}
{x=1650,m=618,a=2048,s=879}
{x=331,m=223,a=1025,s=511}
{x=508,m=5,a=706,s=10}
{x=499,m=83,a=160,s=778}
{x=841,m=2184,a=445,s=2452}
{x=52,m=510,a=38,s=1146}
{x=1276,m=2567,a=1701,s=2498}
{x=350,m=407,a=172,s=129}
{x=122,m=587,a=605,s=164}
{x=732,m=514,a=158,s=9}
{x=64,m=278,a=2444,s=344}
{x=1011,m=2153,a=2318,s=2233}
{x=1975,m=79,a=62,s=241}
{x=1106,m=1564,a=770,s=717}
{x=162,m=385,a=1392,s=2101}
{x=233,m=2351,a=304,s=11}
{x=1274,m=2412,a=1008,s=103}
{x=1643,m=2314,a=1150,s=2490}
{x=830,m=1599,a=3410,s=1049}
{x=106,m=1280,a=362,s=1545}
{x=70,m=160,a=643,s=1160}
{x=130,m=2800,a=327,s=1586}
{x=886,m=1315,a=214,s=2069}
{x=1223,m=1158,a=2096,s=346}
{x=1165,m=562,a=64,s=268}
{x=1007,m=829,a=780,s=125}
{x=76,m=3635,a=1402,s=225}
{x=2194,m=2701,a=2917,s=3210}
{x=2446,m=925,a=421,s=2014}
{x=1598,m=1954,a=166,s=154}
{x=1214,m=630,a=833,s=2973}
{x=2200,m=547,a=774,s=70}
{x=825,m=235,a=2035,s=361}
{x=532,m=1273,a=1178,s=63}
{x=1335,m=2115,a=199,s=1474}
{x=1881,m=2387,a=312,s=278}
{x=125,m=1394,a=2369,s=382}
{x=183,m=381,a=3150,s=223}
{x=338,m=1105,a=429,s=6}
{x=1700,m=745,a=1544,s=2653}
{x=318,m=1614,a=885,s=746}
{x=2239,m=734,a=2753,s=1760}
{x=66,m=2032,a=1899,s=574}
{x=1276,m=21,a=1590,s=321}
{x=537,m=52,a=1846,s=974}
{x=1246,m=2212,a=399,s=2651}
{x=167,m=669,a=2500,s=281}
{x=202,m=109,a=1699,s=15}
{x=1087,m=880,a=207,s=2428}
{x=1459,m=412,a=1917,s=646}
{x=119,m=50,a=27,s=522}
{x=114,m=1010,a=1379,s=977}
{x=115,m=791,a=871,s=1126}
{x=1518,m=2191,a=2660,s=510}
{x=210,m=212,a=594,s=181}
{x=83,m=6,a=729,s=72}
{x=668,m=293,a=598,s=470}
{x=1823,m=464,a=677,s=66}
{x=186,m=3104,a=53,s=853}
{x=1226,m=456,a=1603,s=1535}
{x=142,m=1921,a=458,s=129}
{x=399,m=1653,a=2515,s=1941}
{x=1954,m=351,a=411,s=522}
{x=1819,m=401,a=2952,s=834}
{x=1349,m=1348,a=209,s=2640}
{x=815,m=1028,a=107,s=209}
{x=2424,m=499,a=3550,s=940}
{x=288,m=234,a=3693,s=18}
{x=3107,m=118,a=50,s=762}
{x=513,m=75,a=237,s=2751}
{x=1554,m=1887,a=150,s=184}
{x=188,m=687,a=210,s=2502}
{x=883,m=54,a=41,s=859}
{x=482,m=932,a=686,s=1}
{x=930,m=3689,a=17,s=339}
{x=733,m=921,a=318,s=1817}
{x=168,m=476,a=2863,s=18}
{x=1055,m=286,a=283,s=967}
{x=1494,m=731,a=104,s=1034}
{x=770,m=165,a=1924,s=219}
{x=149,m=134,a=560,s=1185}
